﻿MP's name,Constituency,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Start-up spend,Remaining start-up budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Damian Hinds,East Hampshire CC,,3435.53,,,,88236.8,,,,0,,,,0,,91672.33,,,10892.15,,uncapped,1965.8,uncapped,0,12857.95,104530.28,3969
Dan Jarvis,Barnsley Central BC,,19926.97,,,,112681,,,,4830.33,,,,0,,137438.3,,,15241.63,,uncapped,8350.65,uncapped,0,23592.28,161030.58,4243
Dan Rogerson,North Cornwall CC,,13835.49,,,,90602.99,,,,0,,,,0,,104438.48,,,11222.17,,uncapped,12496.48,uncapped,0,23718.65,128157.13,1504
Daniel Byles,North Warwickshire CC,,19454.66,,,,106878.86,,,,0,,,,0,,126333.52,,,20551.88,,uncapped,11777.86,uncapped,122,32451.74,158785.26,4112
Daniel Kawczynski,Shrewsbury and Atcham CC,,16051.73,,,,111176.88,,,,0,,,,0,,127228.61,,,23287.07,,uncapped,11657.1,uncapped,0,34944.17,162172.78,1566
Daniel Poulter,Central Suffolk and North Ipswich CC,,20811.92,,,,113611.87,,,,0,,,,0,,134423.79,,,19348.78,,uncapped,10577.45,uncapped,0,29926.23,164350.02,3932
Danny Alexander,"Inverness, Nairn, Badenoch and Strathspey CC",,20560.5,,,,109628.64,,,,0,,,,0,,130189.14,,,0,,uncapped,23622.06,uncapped,0,23622.06,153811.2,1535
Dave Watts,St Helens North BC,,9377.73,,,,98313.99,,,,0,,,,0,,107691.72,,,2691.46,,uncapped,5136.25,uncapped,0,7827.71,115519.43,489
David Amess,Southend West BC,,13098.28,,,,115069.31,,,,0,,,,0,,128167.59,,,14026.51,,uncapped,3492.15,uncapped,0,17518.66,145686.25,44
David Anderson,Blaydon BC,,10871.84,,,,113540.3,,,,0,,,,0,,124412.14,,,13069.11,,uncapped,11631.39,uncapped,0,24700.5,149112.64,1486
David Blunkett,"Sheffield, Brightside and Hillsborough BC",,16548.13,,,,108372.93,,,,0,,,,0,,124921.06,,,13291,,uncapped,684.25,uncapped,0,13975.25,138896.31,395
David Burrowes,"Enfield, Southgate BC",,12648.17,,,,100679.68,,,,0,,,,0,,113327.85,,,0,,uncapped,32.15,uncapped,0,32.15,113360,1518
David Cairns,Inverclyde CC,,3113.3,,,,35808.91,,,,0,,,,714.22,,39636.43,,,0,,uncapped,177.78,uncapped,0,177.78,39814.21,1421
David Cameron,Witney CC,,5318.78,,,,113531.58,,,,0,,,,0,,118850.36,,,0,,uncapped,298.7,uncapped,0,298.7,119149.06,1467
David Crausby,Bolton North East BC,,12306.06,,,,104790.46,,,,0,,,,0,,117096.52,,,19863.21,,uncapped,7694.05,uncapped,0,27557.26,144653.78,437
David Davies,Monmouth CC,,18655.18,,,,96297.41,,,,0,,,,0,,114952.59,,,14017.02,,uncapped,10354.36,uncapped,0,24371.38,139323.97,1545
David Davis,Haltemprice and Howden CC,,13371.67,,,,110887.55,,,,0,,,,0,,124259.22,,,18767.75,,uncapped,5735.65,uncapped,0,24503.4,148762.62,373
David Evennett,Bexleyheath and Crayford BC,,8585.63,,,,110866.18,,,,0,,,,0,,119451.81,,,0,,uncapped,829.05,uncapped,0,829.05,120280.86,1198
David Gauke,South West Hertfordshire CC,,8945.4,,,,98227.01,,,,0,,,,0,,107172.41,,,9639.14,,uncapped,595.5,uncapped,0,10234.64,117407.05,1529
David Hamilton,Midlothian CC,,13503.12,,,,81984.48,,,,0,,,,0,,95487.6,,,21195.69,,uncapped,18258.01,uncapped,0,39453.7,134941.3,1432
David Hanson,Delyn CC,,13419.74,,,,111812.52,,,,0,,,,0,,125232.26,,,20932.26,,uncapped,10853.45,uncapped,0,31785.71,157017.97,533
